#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B27D27
#Date Time: 2025-04-27 10:18:25.802
#Start: 1000 Hz
#Stop: 3000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.62013 V
#Offset: -0.000216306 V
#Relative: no
#Channel: Channel 2
#Range: 5.52299 V
#Offset: -4.06484e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,0.0132545939526167,-5.08186495977475,-55.09835440919687
1007.350968612492,0.01281949208365429,-5.161546964589658,-55.43805875451402
1014.755973964525,0.01328123922281645,-5.241887456706137,-55.771501053571
1022.215413278477,0.01303240126826567,-5.322831611712076,-56.10716925213035
1029.729686696692,0.01283285074268642,-5.404552533107712,-56.44323408226697
1037.299197302951,0.01296088473129418,-5.48853554297227,-56.7811509321724
1044.924351144088,0.01290315674919613,-5.573296880785094,-57.11824698236691
1052.605557251776,0.01299557462052361,-5.659051434858442,-57.45609559696705
1060.343227664468,0.01284489600139361,-5.747198586604355,-57.7974831320598
1068.137777449498,0.01272251141328322,-5.835988048605895,-58.14050165509201
1075.989624725346,0.0129888560107036,-5.927378245979236,-58.47749767889798
1083.899190684069,0.01307995974450527,-6.019658038458066,-58.81825862537687
1091.866899613892,0.01262465287699228,-6.113078562052431,-59.15891748582364
1099.893178921973,0.0128427605320594,-6.208990919316842,-59.50445381732517
1107.978459157322,0.01314696936373246,-6.306554868068837,-59.84828435138265
1116.123174033904,0.01260781721724267,-6.406063723932495,-60.19579450920362
1124.327760453902,0.01282049648165074,-6.506177270891126,-60.544352392739
1132.592658531152,0.0129412470281555,-6.609643566678863,-60.89024796437065
1140.918311614753,0.01323227909963164,-6.714219631968673,-61.23797561450599
1149.30516631285,0.01314323916346872,-6.820639559413781,-61.58573764411116
1157.753672516591,0.01276049735595758,-6.929332934387283,-61.93340172586613
