#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B27D27
#Date Time: 2025-04-27 09:22:03.526
#Trace: Trace 1
#Start: 0 Hz
#Stop: 3000.12 Hz
#BINs: 4097
#Rate: 6000.24 Hz
#Samples: 8192
#Channel: C1
#Type: Peak Hold
#Count: 100 
#Window: Flat Top
#Channel: C1
#Range: 5.62013 V
#Offset: -0.000216306 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.52299 V
#Offset: -4.06484e-06 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Lydsignal_43(1).wav
#Frequency: 44.1 kHz
#Period: 22.67573696 us
#Amplitude: 1 V
#Offset: 0 V

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-50.049741454471,180
0.7324511730469219,-50.36855236675879,179.5384541821737
1.464902346093844,-53.87657525123788,0.3249449467910926
2.197353519140766,-64.35432884088263,3.097664501912517
2.929804692187687,-77.64172920803431,6.60293529471185
3.662255865234609,-77.22249674917958,4.278847306046313
4.394707038281531,-77.66112043954553,8.815306724566156
5.127158211328453,-82.19906364734516,19.60441609751599
5.859609384375375,-78.91297137926107,23.78601762590978
6.592060557422297,-71.72290126252287,144.0690931487348
7.324511730469219,-81.21188718922797,132.2965265519967
8.056962903516141,-68.2489883396857,132.1093771916346
8.789414076563062,-62.5959248330703,138.2083184265618
9.521865249609984,-61.46780311799851,141.8120738182902
10.25431642265691,-61.92318215677773,125.3186349496659
10.98676759570383,-56.62922043643047,110.5640780059274
11.71921876875075,-52.19358215915537,114.4486508163642
12.45166994179767,-49.59137722394358,116.880140184859
13.18412111484459,-49.61665071475829,124.0004533598761
13.91657228789152,-53.23512255637627,144.381104132276
14.64902346093844,-60.0978047341483,169.5015833048285
15.38147463398536,-66.15200301506532,12.36526317167701
16.11392580703228,-62.60858439626993,46.01471073531813
16.8463769800792,-59.7453541446907,115.9128133321871
17.57882815312612,-65.24387421581862,151.2926898120527
18.31127932617305,-78.41079027635256,9.425281357773258
19.04373049921997,-65.97967514140305,39.41478453644667
19.77618167226689,-61.57922888338972,52.06513337030197
20.50863284531381,-61.51219129186951,34.85445121156479
21.24108401836073,-62.14897555054896,67.650783372916
21.97353519140766,-61.04473403449012,94.69410501911642
22.70598636445458,-62.16626430588262,57.54225754302889
23.4384375375015,-64.76001994613864,168.1247820259471
24.17088871054842,-67.29803448966064,130.399560442235
24.90333988359534,-66.08758289414732,130.682902044013
25.63579105664227,-68.0540405983603,96.72701156712945
26.36824222968919,-69.45605095889411,108.1538412866993
27.10069340273611,-65.769490369669,131.0313156168814
27.83314457578303,-63.62697448956766,131.5455166880484
28.56559574882995,-62.38479886619455,130.8219145524218
29.29804692187687,-62.20398256129906,172.0501255419178
30.0304980949238,-63.64240696817147,71.91958294794821
30.76294926797072,-65.10218365184323,101.2321712524868
31.49540044101764,-64.59569763255615,93.81578377958667
32.22785161406456,-66.24797809795349,90.09963307970786
32.96030278711149,-70.8849515264013,78.66038797851668
33.69275396015841,-59.08891362762756,58.94370334506183
34.42520513320532,-55.71451772641282,56.52561917366205
35.15765630625225,-55.98024602143908,52.9536244158975
35.89010747929917,-60.78101022503225,125.2754631678962
36.62255865234609,-63.21228971669086,84.32445980687785
37.35500982539301,-55.38774013599503,74.09659093088948
38.08746099843994,-53.40893292110515,76.63953340893801
38.81991217148686,-54.73332995726985,83.49370074876767
39.55236334453378,-63.48427457934407,88.9965991317905
40.2848145175807,-63.57327905189479,98.11351814811933
41.01726569062762,-57.39496838342583,115.0605877845178
41.74971686367455,-55.98998058650068,38.15169112398297
42.48216803672147,-57.18867475092885,73.33606232947972
43.21461920976839,-59.01218214321202,93.54029423728898
43.94707038281531,-57.01047424780907,115.9150910250589
44.67952155586224,-54.93876699963202,126.1753803260847
45.41197272890916,-55.39531299515123,118.2454336164846
46.14442390195607,-59.44891085802402,110.3695790931949
46.876875075003,-70.14229949778067,107.9548255473074
47.60932624804992,-66.0973523726675,91.87699604937798
48.34177742109684,-60.97641412312129,83.41555651293648
49.07422859414376,-61.61829063241926,106.2897757071103
49.80667976719069,-61.84067916195993,120.2110735263163
50.53913094023761,-64.59661625530593,135.3595923969338
51.27158211328453,-67.0417967937158,139.3508987118938
52.00403328633145,-64.75868059508112,128.5739865512444
52.73648445937837,-61.81501570185511,114.8324813495838
53.4689356324253,-60.3728233667903,115.1905268811909
54.20138680547222,-68.39850266756514,106.0131882181121
54.93383797851914,-67.9451305823827,65.98366270312584
55.66628915156606,-65.75589450333328,50.46736239168235
56.39874032461299,-71.22030843975237,169.4008542460914
57.13119149765991,-65.55380041875068,135.8106280113998
57.86364267070682,-53.91094086545795,105.5287580522473
58.59609384375375,-45.86142491519563,53.6450585187777
59.32854501680067,-41.2016958372077,52.52115698728431
60.06099618984759,-40.64985511324338,55.57147816663061
60.79344736289451,-41.30387143345149,57.70289592825455
